id,source,event_id,date,directness_index,verb_strength_max,verb_strength_mean,verb_density,mutuality_index,hedging_density,subject_first_person,subject_all_parties,subject_national,n_words
FR-gaza03-6,FR,gaza03,2023-11-30,0.722,0,0.0,0.0,0.0,0.0,0.267,0.0,0.067,186
UN-gaza04-1,UN,gaza04,2023-12-08,0.765,7,4.28,9.66183574879227,3.86,3.48,0.033,0.002,0.056,5175
UN-gaza04-2,UN,gaza04,2023-12-08,0.847,7,3.38,12.793176972281449,4.26,5.33,0.024,0.0,0.043,1876
UN-gaza04-3,UN,gaza04,2023-12-08,0.664,7,5.2,4.022526146419952,3.22,7.24,0.157,0.0,0.011,1243
UN-gaza04-4,UN,gaza04,2023-12-12,0.886,7,5.0,14.925373134328359,1.07,3.2,0.012,0.012,0.096,938
CN-gaza04-1,CN,gaza04,2023-11-27,0.762,6,3.62,2.8880866425992777,20.94,3.97,0.116,0.035,0.174,2770
CN-gaza04-2,CN,gaza04,2023-11-30,0.818,6,3.5,4.451038575667656,9.89,2.47,0.075,0.012,0.206,4044
CN-gaza04-3,CN,gaza04,2023-12-04,0.836,7,3.64,3.408738766656337,11.78,5.27,0.057,0.024,0.195,3227
CN-gaza04-4,CN,gaza04,2023-12-08,0.829,7,4.3,2.704895861509332,16.77,4.33,0.107,0.033,0.167,3697
CN-gaza04-5,CN,gaza04,2023-12-11,0.865,7,4.44,4.765687053216839,7.15,2.12,0.09,0.004,0.145,3777
FR-gaza04-1,FR,gaza04,2023-12-06,0.714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,155
FR-gaza04-2,FR,gaza04,2023-12-08,1.0,0,0.0,0.0,6.58,0.0,0.0,0.0,0.308,304
FR-gaza04-3,FR,gaza04,2023-12-12,0.818,5,5.0,6.134969325153374,12.27,12.27,0.0,0.0,0.3,163
FR-gaza04-4,FR,gaza04,2023-12-15,0.556,0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,125
FR-gaza04-5,FR,gaza04,2023-12-16,0.875,7,6.5,7.8431372549019605,0.0,0.0,0.067,0.0,0.133,255
FR-gaza04-6,FR,gaza04,2023-12-19,1.0,7,6.67,16.483516483516485,0.0,0.0,0.25,0.0,0.25,182
UN-gaza05-1,UN,gaza05,2024-01-24,0.862,7,4.95,11.51315789473684,6.58,3.02,0.016,0.02,0.053,3648
UN-gaza05-2,UN,gaza05,2024-01-26,0.857,1,1.0,13.192612137203167,5.28,0.0,0.0,0.077,0.0,379
UN-gaza05-3,UN,gaza05,2024-01-26,0.789,1,1.0,2.8735632183908044,1.23,3.69,0.246,0.0,0.015,2436
CN-gaza05-1,CN,gaza05,2024-01-16,0.712,7,4.3,7.393715341959335,1.85,2.22,0.133,0.0,0.199,2705
CN-gaza05-2,CN,gaza05,2024-01-19,0.88,4,2.33,1.4299332697807434,19.54,4.77,0.098,0.041,0.179,2098
CN-gaza05-3,CN,gaza05,2024-01-24,0.827,6,4.25,3.544528134692069,9.75,3.1,0.088,0.007,0.221,2257
CN-gaza05-4,CN,gaza05,2024-01-25,0.681,7,3.62,6.782945736434108,12.6,5.81,0.135,0.015,0.205,3096
CN-gaza05-5,CN,gaza05,2024-01-26,0.802,7,4.55,5.255613951266125,5.73,2.87,0.097,0.007,0.193,2093
FR-gaza05-1,FR,gaza05,2024-01-26,0.667,1,1.0,8.0,0.0,0.0,0.2,0.0,0.4,125
FR-gaza05-2,FR,gaza05,2024-01-28,0.6,7,6.5,10.050251256281408,0.0,0.0,0.091,0.0,0.182,199
FR-gaza05-3,FR,gaza05,2024-01-29,1.0,0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,65
FR-gaza05-4,FR,gaza05,2024-02-05,1.0,0,0.0,0.0,8.93,0.0,0.0,0.0,0.333,112
UN-gaza06-1,UN,gaza06,2024-05-07,0.837,6,6.0,0.7189072609633358,0.72,5.75,0.195,0.006,0.006,1391
UN-gaza06-2,UN,gaza06,2024-05-20,0.771,7,5.5,1.288659793814433,0.0,1.29,0.181,0.0,0.025,1552
UN-gaza06-3,UN,gaza06,2024-05-21,0.842,7,5.17,2.73224043715847,1.37,2.28,0.299,0.004,0.012,2196
UN-gaza06-4,UN,gaza06,2024-05-22,0.871,5,3.0,2.0050125313283207,1.0,5.01,0.256,0.0,0.027,1995
UN-gaza06-5,UN,gaza06,2024-05-29,0.853,7,5.4,3.5161744022503516,2.11,2.11,0.217,0.007,0.039,1422
KR-gaza06-1,KR,gaza06,2024-06-03,1.0,6,6.0,15.873015873015872,15.87,0.0,0.0,0.0,1.0,63
CN-gaza06-1,CN,gaza06,2024-05-07,0.775,6,4.29,2.7548209366391188,16.92,4.33,0.073,0.068,0.215,2541
